Temp Definition °C,Dew Point Definition °C,Rel Hum Definition %,Precip. Amount Definition mm,Wind Dir Definition 10's deg,Wind Spd Definition km/h,Visibility Definition km,Stn Press Definition kPa,Hmdx Definition,Wind Chill Definition,Weather Definition,datetime
-1.3,-4.7,78,0.0,25.0,4,16.1,102.17,,-3.0,LegendNANA,2021-01-01 00:00:00
-1.2,-3.6,84,0.0,24.0,4,16.1,102.16,,-3.0,LegendNANA,2021-01-01 01:00:00
-1.8,-3.2,90,0.0,27.0,4,16.1,102.19,,-3.0,LegendNANA,2021-01-01 02:00:00
-2.0,-3.3,91,0.0,30.0,5,16.1,102.26,,-4.0,LegendNANA,2021-01-01 03:00:00
-1.4,-3.5,85,0.0,27.0,5,16.1,102.24,,-3.0,LegendNANA,2021-01-01 04:00:00
0.4,-3.9,73,0.0,31.0,5,16.1,102.13,,,LegendNANA,2021-01-01 05:00:00
0.0,-3.2,79,0.0,,0,16.1,102.14,,,LegendNANA,2021-01-01 06:00:00
0.5,-3.6,74,0.0,27.0,5,16.1,102.15,,,LegendNANA,2021-01-01 07:00:00
1.2,-4.9,64,0.0,15.0,11,16.1,102.24,,,LegendNANA,2021-01-01 08:00:00
1.4,-4.6,65,0.0,11.0,8,16.1,102.16,,,LegendNANA,2021-01-01 09:00:00
1.5,-4.4,65,0.0,11.0,11,16.1,102.08,,,LegendNANA,2021-01-01 10:00:00
1.7,-4.2,65,0.0,9.0,13,16.1,101.98,,,LegendNANA,2021-01-01 11:00:00
2.2,-3.9,64,0.0,11.0,17,16.1,101.79,,,LegendNANA,2021-01-01 12:00:00
2.1,-4.0,64,0.0,8.0,26,16.1,101.63,,,LegendNANA,2021-01-01 13:00:00
2.2,-3.5,66,0.0,8.0,34,16.1,101.41,,,LegendNANA,2021-01-01 14:00:00
2.3,-3.1,68,0.0,9.0,34,16.1,101.29,,,LegendNANA,2021-01-01 15:00:00
2.4,-2.2,72,0.0,9.0,24,16.1,101.25,,,LegendNANA,2021-01-01 16:00:00
2.3,-2.0,73,0.0,8.0,21,16.1,101.19,,,LegendNANA,2021-01-01 17:00:00
0.5,-0.4,94,0.5,9.0,30,4.0,100.95,,,Snow,2021-01-01 18:00:00
0.5,-0.2,95,0.5,9.0,32,4.8,100.79,,,Snow,2021-01-01 19:00:00
0.6,0.0,96,2.0,8.0,32,3.2,100.63,,,Snow,2021-01-01 20:00:00
1.2,0.6,96,1.0,9.0,26,6.4,100.46,,,"Rain, Fog",2021-01-01 21:00:00
1.4,0.8,96,0.0,8.0,30,8.1,100.25,,,Fog,2021-01-01 22:00:00
1.7,1.1,96,0.0,8.0,26,16.1,100.08,,,LegendNANA,2021-01-01 23:00:00
2.0,1.4,96,0.5,8,30,16.1,99.86,,,Rain,2021-01-02 00:00:00
2.0,1.4,96,1.8,6,28,9.7,99.72,,,"Rain, Fog",2021-01-02 01:00:00
2.1,1.7,97,3.8,7,17,9.7,99.69,,,"Moderate Rain, Fog",2021-01-02 02:00:00
2.1,1.2,94,3.0,3,15,16.1,99.62,,,Moderate Rain,2021-01-02 03:00:00
0.6,0.0,96,2.2,33,13,2.4,99.71,,,Snow,2021-01-02 04:00:00
0.1,-0.8,94,2.8,35,18,2.8,99.8,,,Snow,2021-01-02 05:00:00
0.0,-1.6,89,0.0,33,18,16.1,99.99,,-5.0,Rain,2021-01-02 06:00:00
-0.2,-2.1,87,0.0,31,15,16.1,100.22,,-5.0,LegendNANA,2021-01-02 07:00:00
-0.5,-2.6,86,0.0,31,13,16.1,100.44,,-5.0,LegendNANA,2021-01-02 08:00:00
-0.5,-2.8,85,0.0,31,9,16.1,100.58,,-4.0,LegendNANA,2021-01-02 09:00:00
